IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.116.231.198,443,443,true,FRA,Europe,Frankfurt,276,5.51
34.65.64.131,443,443,true,FRA,Europe,Frankfurt,188,5.51
34.116.255.149,443,443,true,FRA,Europe,Frankfurt,331,5.51
34.32.237.101,443,443,true,FRA,Europe,Frankfurt,260,5.50
34.90.153.175,443,443,true,FRA,Europe,Frankfurt,259,5.50
35.246.165.122,443,443,true,FRA,Europe,Frankfurt,255,5.49
34.91.120.132,443,443,true,FRA,Europe,Frankfurt,269,5.49
34.116.161.91,443,443,true,FRA,Europe,Frankfurt,204,5.48
34.107.56.152,443,443,true,FRA,Europe,Frankfurt,201,5.47
34.154.251.149,443,443,true,FRA,Europe,Frankfurt,255,5.47
34.34.5.22,443,443,true,FRA,Europe,Frankfurt,261,5.45
34.34.117.234,443,443,true,FRA,Europe,Frankfurt,265,5.45
34.118.96.199,443,443,true,FRA,Europe,Frankfurt,296,5.44
34.118.74.247,443,443,true,FRA,Europe,Frankfurt,366,5.44
34.91.246.61,443,443,true,FRA,Europe,Frankfurt,262,5.43
34.118.96.176,443,443,true,FRA,Europe,Frankfurt,324,5.43
34.90.186.31,443,443,true,FRA,Europe,Frankfurt,258,5.42
34.116.133.0,443,443,true,FRA,Europe,Frankfurt,283,5.41
34.32.156.59,443,443,true,FRA,Europe,Frankfurt,212,5.40
34.118.68.230,443,443,true,FRA,Europe,Frankfurt,269,5.37
34.118.122.49,443,443,true,FRA,Europe,Frankfurt,333,5.37
34.90.76.174,443,443,true,FRA,Europe,Frankfurt,202,5.37
34.32.200.141,443,443,true,FRA,Europe,Frankfurt,272,5.36
34.90.186.31,443,443,true,FRA,Europe,Frankfurt,195,5.33
34.34.62.39,443,443,true,FRA,Europe,Frankfurt,303,5.33
34.118.125.121,443,443,true,FRA,Europe,Frankfurt,321,5.31
34.116.161.91,443,443,true,FRA,Europe,Frankfurt,271,5.31
34.116.204.154,443,443,true,FRA,Europe,Frankfurt,284,5.30
34.118.69.24,443,443,true,FRA,Europe,Frankfurt,259,5.30
34.34.54.254,443,443,true,FRA,Europe,Frankfurt,211,5.29
34.116.246.145,443,443,true,FRA,Europe,Frankfurt,279,5.29
34.118.22.194,443,443,true,FRA,Europe,Frankfurt,273,5.28
34.116.153.159,443,443,true,FRA,Europe,Frankfurt,383,5.28
34.154.119.138,443,443,true,FRA,Europe,Frankfurt,185,5.27
34.118.125.121,443,443,true,FRA,Europe,Frankfurt,273,5.26
34.116.138.28,443,443,true,FRA,Europe,Frankfurt,271,5.26
34.154.183.87,443,443,true,FRA,Europe,Frankfurt,203,5.25
34.159.4.110,443,443,true,FRA,Europe,Frankfurt,278,5.25
34.91.101.211,443,443,true,FRA,Europe,Frankfurt,262,5.23
34.32.172.190,443,443,true,FRA,Europe,Frankfurt,263,5.21
35.204.163.10,443,443,true,FRA,Europe,Frankfurt,282,5.19
34.34.92.204,443,443,true,FRA,Europe,Frankfurt,257,5.17
34.116.211.122,443,443,true,FRA,Europe,Frankfurt,284,5.17
34.116.231.198,443,443,true,FRA,Europe,Frankfurt,269,5.15
34.118.107.36,443,443,true,FRA,Europe,Frankfurt,306,5.14
34.116.183.48,443,443,true,FRA,Europe,Frankfurt,274,5.13
34.118.96.176,443,443,true,FRA,Europe,Frankfurt,222,5.11
34.116.209.116,443,443,true,FRA,Europe,Frankfurt,279,5.11
34.116.176.20,443,443,true,FRA,Europe,Frankfurt,346,5.11
34.118.69.24,443,443,true,FRA,Europe,Frankfurt,273,5.11
34.90.31.179,443,443,true,FRA,Europe,Frankfurt,269,5.10
34.154.113.133,443,443,true,FRA,Europe,Frankfurt,261,5.09
34.118.42.32,443,443,true,FRA,Europe,Frankfurt,344,5.07
34.154.36.163,443,443,true,FRA,Europe,Frankfurt,197,5.06
34.116.216.92,443,443,true,FRA,Europe,Frankfurt,320,5.06
34.154.141.188,443,443,true,FRA,Europe,Frankfurt,197,5.06
34.116.239.30,443,443,true,FRA,Europe,Frankfurt,379,5.05
34.118.12.204,443,443,true,FRA,Europe,Frankfurt,271,5.04
34.154.246.201,443,443,true,FRA,Europe,Frankfurt,187,5.04
34.116.214.69,443,443,true,FRA,Europe,Frankfurt,213,5.04
34.116.211.75,443,443,true,FRA,Europe,Frankfurt,249,5.04
34.154.68.175,443,443,true,FRA,Europe,Frankfurt,194,4.99
34.90.162.120,443,443,true,FRA,Europe,Frankfurt,190,4.99
34.116.143.158,443,443,true,FRA,Europe,Frankfurt,329,4.99
34.116.133.0,443,443,true,FRA,Europe,Frankfurt,398,4.97
34.116.212.248,443,443,true,FRA,Europe,Frankfurt,380,4.97
34.118.53.216,443,443,true,FRA,Europe,Frankfurt,359,4.97
34.154.52.15,443,443,true,FRA,Europe,Frankfurt,250,4.96
